20200701,G5269C101,KNSA,78283,KINIKSA PHARMACEUTICALS LTD
20200701,G5478K100,LLIT,515684,LIANLUO SMART LTD CL A
20200701,G5480U120,LBTYK,13735,LIBERTY GLOBAL PLC SHS CL C (U
20200701,G5494J103,LIN,29,LINDE PLC SHS (IRL)
20200701,G5510C124,LIVKU,213,LIV CAP ACQUISITION CRP UNIT 1
20200701,G56372116,LOACW,9476,LONGEVITY ACQUISITION CORP RED
20200701,G5753U138,MHPRC,800,MAIDEN HLDGS LTD. PREFERENCE S
20200701,G5785G107,MNK,21428,MALLINCKRODT PUB LTD CO SHS (I
20200701,G59665102,MGTX,16469,MEIRAGTX HLDGS PLC (CYM)
20200701,G6S41R101,OSMT,2536,OSMOTICA PHARMACEUTICALS PLC
20200701,G6095L117,APTVPRA,8535,APTIV PLC MANDATORY PFD CONV S
20200701,G6359F129,NBRPRA,162,NABORS INDUSTRIES LTD PFD CONV
20200701,G6359F137,NBR,165,NABORS INDS LTD (NEW) BERMUDA 
20200701,G6455A107,NFIN,862,NETFIN ACQUISITION CORP SHS CL
20200701,G6455A115,NFINW,5764,NETFIN ACQUISITION CORP WT EXP
20200701,G6455A123,NFINU,2685,NETFIN ACQ CORP UNIT 1 SH CL A
20200701,G6461G106,NFH,1584,NEW FRONTIER HEALTH CORP SHS (
20200701,G6463T114,NBACW,8808,NEWBORN ACQUISITION CORP WT EX
20200701,G6463T122,NBACR,21330,NEWBORN ACQUISITION CORP RT 02
20200701,G65431101,NE,324974,NOBLE CORP PLC ORD SHS (UK)
20200701,G65773106,NAT,2794,NORDIC AMERICAN TANKERS LTD SH
20200701,G66721104,NCLH,595572,NORWEGIAN CRUISE LINE HLDGS LT
20200701,G6674U108,NVCR,1243,NOVOCURE LTD ORD SHS (JEY)
20200701,G6700G107,NVT,15272,NVENT ELEC PLC SHS (IRL)
20200701,G67145121,OACU,939,OAKTREE ACQUISTION CORP (CYM) 
20200701,G6769T115,ORXGF,200,ORCA EXPLORATION GROUP INC SHS
20200701,G68603136,PREPRG,9,PARTNERRE LTD
20200701,G7185A128,PTGED,2121,PORTAGE BIOTECH INC
20200701,G7306H101,PHCF,12405,PUHUI WEALTH INVT MGMT CO LTD 
20200701,G73268107,QTNT,75,QUOTIENT LIMITED ORDINARY SHAR
20200701,G7415M124,RCON,2623,RECON TECHNOLOGY LTD ORD SHS N
20200701,G7498P119,RNRPRE,221,RENAISSANCERE HOLDGINGS LTD 5.
20200701,G75130115,RPLAWS,105,REPLAY ACQUISITION CORP WT EXP
20200701,G75271109,RETO,12019,RETO ECO-SOLUTIONS INC USD COM
20200701,G7709Q104,RPRX,22347,ROYALTY PHARMA PLC SHS CL A (G
20200701,G7777C102,SROYF,500,SAILFISH RTY CORP SHS (VGB)
20200701,G78516302,SCPEU,1000,SC HEALTH CORPUNIT 1 CL A & 1/
20200701,G79448117,SCVXWS,21010,SCVX CORP WT EXP 01/24/25 (CYM
20200701,G7945M107,STX,448,SEAGATE TECH PLC (IRL)
20200701,G7998G106,SDRLF,12610,SEADRILL LTD NEW SHS (BMU)
20200701,G81226105,SEMUF,30,SIEM INDUSTRIES INC
20200701,G8136L106,SSPK,119,SILVER SPIKE ACQUISITION CORP 
20200701,G8250T125,IPOBWS,53168,SOCIAL CAPITAL HEDOSOPHIA HOLD
20200701,G8251K107,IPOC,63203,SOCIAL CAPITAL HEDOSOPHIA HOLD
20200701,G8251K115,IPOCWS,52399,SOCIAL CAPITAL HEDOSOPHIA HOLD
20200701,G8473T100,STE,47148,STERIS PLC ORD SHS(IRL)
20200701,G85158106,STNE,736,STONECO LTD CL A (CYM)
20200701,G8598Y109,SOAC,19539,SUSTAINABLE OPPORTUNITIES ACQU
20200701,G8598Y117,SOACWS,150009,SUSTAINABLE OPPORTUNITIES ACQU
20200701,G8675V101,TAOP,6709,"TAPPING INC, BVI ORDINARY SHAR"
20200701,G8708A108,TZACW,635,TENZING ACQUISITION CORP WT EN
20200701,G87084102,PETZ,7315,TDH HLDGS INC
20200701,G87110105,FTI,554,TECHNIPFMC PLC COM (GBR)
20200701,G87264100,TGLS,4498,TECNOGLASS INC COM
20200701,G8857S108,THBRW,199,THUNDER BRDG ACQUISITION II LT
20200701,G8959N114,TOTAW,3534,TOTTENHAM ACQUISITION I LTD WT
20200701,G8994E103,TT,10382,TRANE TECHNOLOGIES PLC SHS (IR
20200701,G89982113,TAT,12895,TRANSATLANTIC PETROLEUM LTD OR
20200701,G9078F149,TRTNPRC,353,TRITON INTL LTD CUM RED PERP P
20200701,G9078F206,TRTNPRD,300,TRITON INTL LTD PERP PREF SHAR
20200701,G9108L108,TNP,923,TSAKOS ENERGY NAVIGATION LTD
20200701,G9108L165,TNPPRF,664,TSAKOS ENERGY NAVIGATION LTD
20200701,G9108L173,TNPZZZZ,49149,TSAKOS ENERGY NAVIGATION LTD
20200701,G9310A114,UTSI,290,UTSTARCOM HOLDINGS CORP ORD SH
20200701,G9381B108,UROV,1447,UROVANT SCIENCES LTD SHS
20200701,G9402Q126,LATNW,1500,UNION ACQUISITION CRP II WT OU
20200701,G9402V109,VAL,620789,VALARIS PLC SHS CL A (GBR)
20200701,G94184101,WAFU,100,WAH FU ED GROUP LTD SHS (VGB) 
20200701,G9456A100,GLNG,75,GOLAR LNG LTD (BERMUDA)
20200701,G94787119,WTREP,2012,WATFORD HLDGS LTD CUM RED PREF
