0001019034,09060C101
0000825410,51476K103
0000948072,091283200
0001273441,19662150
0000073756,12010866
0001488309,26927B209
0001579684,64704V106
0001172724,38059T106
0001485964,711037101
0001231346,811916105
0000107140,968223206
0001009672,140781108
0001561743,494577109
0000882150,09255E102
0001013880,879939106
0001489136,81663A105
0001374535,02208R106
0001556593,64828T102
0001566049,M2239P109
0000921503,09643P207
0001438893,36465E101
0001035683,059460303
0000894239,26432K108
0000728249,460593106
0001036044,45170X205
0001088312,90456P302
0001388028,358748101
0000034067,267888105
0001393299,092524107
0000313807,979723815
0001338065,23311P100
0001378946,23353164
0001551060,74906P104
0001397807,03216B208
0000040570,369730106
0000763901,733174700
0001107843,74758T303
0001116284,302046107
0001527709,59560V109
0001592379,698814100
0001050743,704699107
0000319655,798241105
0000912833,954235107
0001397187,550021109
0001374328,33817P108
0001136294,37941P306
0001551182,28415730
0000895528,46132K109
0000783324,927926303
0001048685,591176102
0001522807,11273Q109
0001120914,693282105
0001096199,36846Q203
0001064728,704549104
0001498576,100015
0001492691,87074U101
0001509589,097793103
0001020011,927864108
0000880892,46131M106
0001579157,92719W108
0001315695,774415103
0000091576,53299941
0000827187,81616X103
0001562151,22662X100
0000910606,758849103
0000738214,00770K202
0000726854,177835105
0001375514,G6209T105
0001402371,29015T504
0001160142,45882L101
0000904163,028591105
0000754811,902952100
0001162030,018714105
0000318673,814785309
0001357204,265504100
0001508478,G0457F107
0001034665,09253N104
0000277595,29265N108
0001503123,233051705
0000862692,228895108
0000850209,10237795
0001520697,00404A109
0000799231,771980
0000902791,445369
0001329099,056752108
0001001907,046484101
0001606645,M46135105
0001009001,24338452
0000874243,39740200
0000319458,29358Y102
0000350199,127150308
0001510295,29612619
0001547635,556777100
0001485001,682479100
0000946647,677121
0001021270,307068106
0001297336,75525F104
0001118237,578877102
0001253986,038923108
0001302084,29269X102
0001219601,228368106
0001574815,86101X104
0001322422,443628102
0000750686,514744
0000940944,10627065
0000018172,148411101
0001333493,28238P109
0001104506,457669307
0001261654,913915104
0000743988,983919101
0001518557,56064K100
0000907562,10954426
0000920532,M7946T104
0001167140,22051P106
0001585854,Y8213L102
0001127706,67069X104
0001169561,204166102
0000311471,746551
0000897419,67061E104
0001483510,30219E103
0001035443,015271109
0000933034,863111100
0000945764,247916208
0001131399,288448327
0001042810,294752100
0001462586,95790A101
0001389170,87612G101
0001399587,09531B203
0001175680,23283M101
0001285819,682143102
0001437106,043632108
0001141103,227483104
0001161315,98600P201
0000904112,61744H105
0000016040,127055101
0000096966,11960341
0001166003,983793100
0001522065,761131101
0001321646,50077C106
0001567683,62942X108
0000086264,14115T109
0001329394,82706C108
0000059527,533900106
0001315718,922101100
0001031235,81631y102
0000085974,783764031
0001040470,00760J108
0001549922,866142102
0001573166,48019R108
0000916076,573284106
0000940332,032515108
0001373561,65251F105
0001304421,209034107
0000751652,748356102
0001254595,33610F109
0001266585,670682103
0000357294,10562883
0000008504,292758208
0001308027,92927N106
0001418819,46269C102
0001403849,71372U104
0000732417,431643105
0001023514,413216300
0001178819,04341Y105
0000764401,45774W108
0001571776,164651101
0001378872,73936T458
0001317577,721283109
0001120370,11161T108
0000880117,567834
0000926423,606501104
0000865941,150838100
0000075288,691497309
0000078128,11827944
0000785787,001031103
0001117297,74874Q100
0001580185,46618D108
0000070487,637372202
0001137360,57060U886
0001387467,G6331P104
0000862599,00306K106
0001137392,09248H105
0000023111,205477102
0001056358,563771203
0000701288,049904105
0000729580,077347201
0000097210,18211920
0000886346,674425
0001175505,33830X104
0001056696,562750109
0000912752,829226109
0000312257,45772H202
0001292653,45825N107
0000912023,50063B104
0001049521,589378108
0000751652,14523979
0000039263,229899109
